Date,Open,High,Low,Close,Change,%Change
07/01/2019,1922.98,1929.82,1914.66,1922.19,-0.8,-0.04
07/02/2019,1919.38,1934.79,1906.63,1934.31,14.9,0.78
07/03/2019,1935.89,1941.59,1930.5,1939.0,3.1,0.16
07/05/2019,1928.6,1945.9,1925.3,1942.91,14.3,0.74
07/08/2019,1934.12,1956.0,1928.25,1952.32,18.2,0.94
07/09/2019,1947.8,1990.01,1943.47,1988.3,40.5,2.08
07/10/2019,1996.51,2024.94,1995.4,2017.41,20.9,1.05
07/11/2019,2025.62,2035.8,1995.3,2001.07,-24.5,-1.21
07/12/2019,2008.27,2017.0,2003.87,2011.0,2.7,0.14
07/15/2019,2021.4,2022.9,2001.55,2020.99,-0.4,-0.02
07/16/2019,2010.58,2026.32,2001.22,2009.9,-0.7,-0.03
07/17/2019,2007.05,2012.0,1992.03,1992.03,-15.0,-0.75
07/18/2019,1980.01,1987.5,1951.55,1977.9,-2.1,-0.11
07/19/2019,1991.21,1996.0,1962.23,1964.52,-26.7,-1.34
07/22/2019,1971.14,1989.0,1958.26,1985.63,14.5,0.74
07/23/2019,1995.99,1997.79,1973.13,1994.49,-1.5,-0.08
07/24/2019,1969.3,2001.3,1965.87,2000.81,31.5,1.6
07/25/2019,2001.0,2001.2,1972.72,1973.82,-27.2,-1.36
07/26/2019,1942.0,1950.89,1924.51,1943.05,1.0,0.05
07/29/2019,1930.0,1932.23,1890.54,1912.45,-17.5,-0.91
07/30/2019,1891.12,1909.89,1883.48,1898.53,7.4,0.39
07/31/2019,1898.11,1899.55,1849.44,1866.78,-31.3,-1.65
08/01/2019,1871.72,1897.92,1844.01,1855.32,-16.4,-0.88
08/02/2019,1845.07,1846.36,1808.02,1823.24,-21.8,-1.18
08/05/2019,1770.22,1788.67,1748.78,1765.13,-5.1,-0.29
08/06/2019,1792.23,1793.77,1753.4,1787.83,-4.4,-0.25
08/07/2019,1773.99,1798.93,1757.0,1793.4,19.4,1.09
08/08/2019,1806.0,1834.26,1798.11,1832.89,26.9,1.49
08/09/2019,1828.95,1831.09,1802.22,1807.58,-21.4,-1.17
08/12/2019,1795.99,1800.98,1777.0,1784.92,-11.1,-0.62
08/13/2019,1783.0,1831.74,1780.0,1824.34,41.3,2.32
08/14/2019,1793.01,1795.65,1757.21,1762.96,-30.0,-1.68
08/15/2019,1781.99,1788.0,1761.96,1776.12,-5.9,-0.33
08/16/2019,1792.89,1802.91,1784.55,1792.57,-0.3,-0.02
08/19/2019,1818.08,1826.0,1812.61,1816.12,-2.0,-0.11
08/20/2019,1814.5,1816.82,1799.88,1801.38,-13.1,-0.72
08/21/2019,1819.39,1829.58,1815.0,1823.54,4.1,0.23
08/22/2019,1828.0,1829.41,1800.1,1805.6,-22.4,-1.23
08/23/2019,1793.03,1804.9,1745.23,1749.62,-43.4,-2.42
08/26/2019,1766.91,1770.0,1743.51,1768.87,2.0,0.11
08/27/2019,1775.73,1779.4,1746.68,1761.83,-13.9,-0.78
08/28/2019,1755.0,1767.86,1744.05,1764.25,9.2,0.53
08/29/2019,1783.0,1798.55,1777.25,1786.4,3.4,0.19
08/30/2019,1797.49,1799.74,1764.57,1776.29,-21.2,-1.18
09/03/2019,1770.0,1800.8,1768.0,1789.84,19.8,1.12
09/04/2019,1805.0,1807.63,1796.23,1800.62,-4.4,-0.24
09/05/2019,1821.95,1842.0,1815.58,1840.72,18.8,1.03
09/06/2019,1838.22,1840.65,1826.4,1833.51,-4.7,-0.26
09/09/2019,1841.0,1850.0,1824.61,1831.35,-9.7,-0.52
09/10/2019,1822.75,1825.81,1805.34,1820.55,-2.2,-0.12
09/11/2019,1812.14,1833.42,1809.08,1822.99,10.8,0.6
09/12/2019,1837.63,1853.66,1834.28,1843.55,5.9,0.32
09/13/2019,1842.01,1846.12,1835.17,1839.34,-2.7,-0.14
09/16/2019,1824.02,1825.69,1800.2,1807.84,-16.2,-0.89
09/17/2019,1807.08,1823.99,1804.1,1822.55,15.5,0.86
09/18/2019,1817.04,1822.06,1795.5,1817.46,0.4,0.02
09/19/2019,1821.02,1832.57,1817.9,1821.5,0.5,0.03
09/20/2019,1821.71,1830.63,1780.92,1794.16,-27.5,-1.51
09/23/2019,1777.0,1792.7,1767.32,1785.3,8.3,0.47
09/24/2019,1790.61,1795.7,1735.55,1741.61,-49.0,-2.74
09/25/2019,1747.36,1773.0,1723.0,1768.33,21.0,1.2
09/26/2019,1762.79,1763.37,1731.5,1739.84,-23.0,-1.3
09/27/2019,1748.0,1749.12,1713.82,1725.45,-22.5,-1.29
09/30/2019,1726.99,1737.46,1709.22,1735.91,8.9,0.52
10/01/2019,1746.0,1755.6,1728.41,1735.65,-10.3,-0.59
10/02/2019,1727.74,1728.89,1705.0,1713.23,-14.5,-0.84
10/03/2019,1713.0,1725.0,1685.06,1724.42,11.4,0.67
10/04/2019,1726.02,1740.58,1719.23,1739.65,13.6,0.79
10/07/2019,1731.63,1747.83,1723.7,1732.66,1.0,0.06
10/08/2019,1722.49,1727.0,1705.0,1705.51,-17.0,-0.99
10/09/2019,1719.61,1729.95,1714.36,1721.99,2.4,0.14
10/10/2019,1725.24,1738.29,1713.75,1720.26,-5.0,-0.29
10/11/2019,1742.92,1745.45,1729.86,1731.92,-11.0,-0.63
10/14/2019,1728.91,1741.89,1722.0,1736.43,7.5,0.43
10/15/2019,1742.14,1776.45,1740.62,1767.38,25.2,1.45
10/16/2019,1773.33,1786.24,1770.52,1777.43,4.1,0.23
10/17/2019,1796.49,1798.85,1782.02,1787.48,-9.0,-0.5
10/18/2019,1787.8,1793.98,1749.2,1757.51,-30.3,-1.69
10/21/2019,1769.66,1785.88,1765.0,1785.66,16.0,0.9
10/22/2019,1788.15,1789.78,1762.0,1765.73,-22.4,-1.25
10/23/2019,1761.3,1770.05,1742.0,1762.17,0.9,0.05
10/24/2019,1771.09,1788.34,1760.27,1780.78,9.7,0.55
10/25/2019,1697.55,1764.21,1695.0,1761.33,63.8,3.76
10/28/2019,1748.06,1778.7,1742.5,1777.08,29.0,1.66
10/29/2019,1774.81,1777.0,1755.81,1762.71,-12.1,-0.68
10/30/2019,1760.24,1782.38,1759.12,1779.99,19.8,1.12
10/31/2019,1775.99,1792.0,1771.48,1776.66,0.7,0.04
11/01/2019,1788.01,1797.44,1785.21,1791.44,3.4,0.19
11/04/2019,1801.01,1815.06,1801.01,1804.66,3.7,0.2
11/05/2019,1809.16,1810.25,1794.0,1801.71,-7.5,-0.41
11/06/2019,1801.0,1802.5,1788.58,1795.77,-5.2,-0.29
11/07/2019,1803.76,1805.9,1783.48,1788.2,-15.6,-0.86
11/08/2019,1787.89,1789.88,1774.04,1785.88,-2.0,-0.11
11/11/2019,1778.0,1780.0,1767.13,1771.65,-6.3,-0.36
11/12/2019,1774.66,1786.22,1771.91,1778.0,3.3,0.19
11/13/2019,1773.39,1775.0,1747.32,1753.11,-20.3,-1.14
11/14/2019,1751.43,1766.59,1749.56,1754.6,3.2,0.18
11/15/2019,1760.05,1761.68,1732.86,1739.49,-20.6,-1.17
11/18/2019,1738.3,1753.7,1722.71,1752.53,14.2,0.82
11/19/2019,1756.99,1760.68,1743.03,1752.79,-4.2,-0.24
11/20/2019,1749.14,1762.52,1734.12,1745.53,-3.6,-0.21
11/21/2019,1743.0,1746.87,1730.36,1734.71,-8.3,-0.48
11/22/2019,1739.02,1746.43,1731.0,1745.72,6.7,0.39
11/25/2019,1753.25,1777.42,1753.24,1773.84,20.6,1.17
11/26/2019,1779.92,1797.03,1778.35,1796.94,17.0,0.96
11/27/2019,1801.0,1824.5,1797.31,1818.51,17.5,0.97
11/29/2019,1817.78,1824.69,1800.79,1800.8,-17.0,-0.93
12/02/2019,1804.4,1805.55,1762.68,1781.6,-22.8,-1.26
12/03/2019,1760.0,1772.87,1747.23,1769.96,10.0,0.57
12/04/2019,1774.01,1789.09,1760.22,1760.69,-13.3,-0.75
12/05/2019,1763.5,1763.5,1740.0,1740.48,-23.0,-1.31
12/06/2019,1751.2,1754.4,1740.13,1751.6,0.4,0.02
12/09/2019,1750.66,1766.89,1745.61,1749.51,-1.2,-0.07
12/10/2019,1747.4,1750.67,1735.0,1739.21,-8.2,-0.47
12/11/2019,1741.67,1750.0,1735.71,1748.72,7.0,0.4
12/12/2019,1750.0,1764.0,1745.44,1760.33,10.3,0.59
12/13/2019,1765.0,1768.99,1755.0,1760.94,-4.1,-0.23
12/16/2019,1767.0,1769.5,1757.05,1769.21,2.2,0.13
12/17/2019,1778.01,1792.0,1777.39,1790.66,12.7,0.71
12/18/2019,1795.02,1798.2,1782.36,1784.03,-11.0,-0.61
12/19/2019,1780.5,1792.99,1774.06,1792.28,11.8,0.66
12/20/2019,1799.62,1802.97,1782.45,1786.5,-13.1,-0.73
12/23/2019,1788.26,1793.0,1784.51,1793.0,4.7,0.27
12/24/2019,1793.81,1795.57,1787.58,1789.21,-4.6,-0.26
12/26/2019,1801.01,1870.46,1799.5,1868.77,67.8,3.76
12/27/2019,1882.92,1901.4,1866.01,1869.8,-13.1,-0.7
