"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 19, 2021","3,120.76","3,108.13","3,145.00","3,096.73","3.31M","0.53%"
"Jan 15, 2021","3,104.25","3,123.02","3,142.54","3,095.17","4.24M","-0.74%"
"Jan 14, 2021","3,127.47","3,167.51","3,177.91","3,120.97","3.07M","-1.21%"
"Jan 13, 2021","3,165.89","3,126.19","3,189.44","3,123.02","3.32M","1.44%"
"Jan 12, 2021","3,120.83","3,117.60","3,141.00","3,086.47","3.51M","0.21%"
"Jan 11, 2021","3,114.21","3,148.22","3,156.07","3,110.00","3.67M","-2.15%"
"Jan 08, 2021","3,182.70","3,180.00","3,190.64","3,142.20","3.54M","0.65%"
"Jan 07, 2021","3,162.16","3,156.47","3,207.23","3,156.47","3.51M","0.76%"
"Jan 06, 2021","3,138.38","3,147.93","3,197.00","3,131.31","4.39M","-2.49%"
"Jan 05, 2021","3,218.51","3,171.07","3,223.38","3,166.01","2.66M","1.00%"
"Jan 04, 2021","3,186.63","3,266.26","3,270.91","3,145.00","4.41M","-2.16%"
"Dec 31, 2020","3,256.93","3,275.00","3,282.92","3,241.20","2.96M","-0.88%"
"Dec 30, 2020","3,285.85","3,340.00","3,341.13","3,283.00","3.21M","-1.09%"
"Dec 29, 2020","3,322.00","3,311.00","3,350.00","3,282.54","4.87M","1.16%"
"Dec 28, 2020","3,283.96","3,192.90","3,303.55","3,173.08","5.69M","3.51%"
"Dec 24, 2020","3,172.69","3,193.90","3,202.00","3,169.00","1.45M","-0.39%"
"Dec 23, 2020","3,185.27","3,204.49","3,210.00","3,185.00","2.09M","-0.66%"
"Dec 22, 2020","3,206.52","3,201.48","3,218.45","3,180.92","2.38M","0.01%"
"Dec 21, 2020","3,206.18","3,197.77","3,226.19","3,167.50","3.84M","0.14%"
"Dec 18, 2020","3,201.65","3,243.99","3,249.42","3,171.60","6.00M","-1.06%"
"Dec 17, 2020","3,236.08","3,246.50","3,263.51","3,221.00","3.47M","-0.15%"
"Dec 16, 2020","3,240.96","3,176.01","3,247.00","3,163.68","4.39M","2.40%"
"Dec 15, 2020","3,165.12","3,178.16","3,188.00","3,130.73","3.32M","0.26%"
"Dec 14, 2020","3,156.97","3,138.00","3,190.47","3,128.72","4.16M","1.30%"
"Dec 11, 2020","3,116.42","3,096.66","3,118.67","3,072.82","3.06M","0.48%"
"Dec 10, 2020","3,101.49","3,090.00","3,142.00","3,077.00","3.03M","-0.09%"
"Dec 09, 2020","3,104.20","3,167.50","3,169.47","3,088.00","4.10M","-2.30%"
"Dec 08, 2020","3,177.29","3,156.04","3,184.13","3,120.33","3.29M","0.61%"
"Dec 07, 2020","3,158.00","3,155.59","3,180.00","3,142.95","2.75M","-0.14%"
"Dec 04, 2020","3,162.58","3,198.21","3,198.21","3,158.76","2.91M","-0.76%"
"Dec 03, 2020","3,186.73","3,203.84","3,228.58","3,181.66","2.89M","-0.52%"
"Dec 02, 2020","3,203.53","3,220.33","3,231.02","3,174.00","3.13M","-0.51%"
"Dec 01, 2020","3,220.08","3,188.50","3,248.95","3,157.18","4.49M","1.64%"
"Nov 30, 2020","3,168.04","3,208.48","3,228.39","3,125.55","4.01M","-0.85%"
"Nov 27, 2020","3,195.34","3,211.26","3,216.19","3,190.05","2.39M","0.32%"
"Nov 25, 2020","3,185.07","3,141.50","3,198.00","3,141.50","3.79M","2.15%"
"Nov 24, 2020","3,118.06","3,101.22","3,133.63","3,087.55","3.60M","0.63%"
"Nov 23, 2020","3,098.39","3,117.97","3,139.11","3,066.38","4.71M","-0.03%"
"Nov 20, 2020","3,099.40","3,117.02","3,132.89","3,098.05","3.38M","-0.57%"
"Nov 19, 2020","3,117.02","3,104.44","3,125.00","3,082.28","3.01M","0.37%"
"Nov 18, 2020","3,105.46","3,130.05","3,139.99","3,105.46","2.92M","-0.96%"
"Nov 17, 2020","3,135.66","3,182.71","3,182.71","3,135.29","3.44M","0.15%"
"Nov 16, 2020","3,131.06","3,095.59","3,140.22","3,076.14","3.81M","0.07%"
"Nov 13, 2020","3,128.81","3,122.00","3,141.72","3,085.39","3.76M","0.60%"
"Nov 12, 2020","3,110.28","3,150.39","3,175.00","3,086.84","4.37M","-0.86%"
"Nov 11, 2020","3,137.39","3,061.93","3,138.72","3,051.93","4.37M","3.37%"
"Nov 10, 2020","3,035.02","3,097.72","3,112.67","3,020.00","6.59M","-3.46%"
"Nov 09, 2020","3,143.74","3,226.28","3,288.45","3,115.00","7.19M","-5.06%"
"Nov 06, 2020","3,311.37","3,304.64","3,322.00","3,232.00","4.65M","-0.32%"
"Nov 05, 2020","3,322.00","3,318.33","3,365.52","3,291.19","5.79M","2.49%"
"Nov 04, 2020","3,241.16","3,159.99","3,244.85","3,139.73","6.84M","6.32%"
"Nov 03, 2020","3,048.41","3,018.53","3,074.90","2,980.98","4.90M","1.46%"
"Nov 02, 2020","3,004.48","3,061.74","3,079.71","2,950.12","7.26M","-1.04%"
"Oct 30, 2020","3,036.15","3,157.75","3,167.00","3,019.00","8.40M","-5.45%"
"Oct 29, 2020","3,211.01","3,201.27","3,257.25","3,164.00","6.60M","1.52%"
"Oct 28, 2020","3,162.78","3,248.72","3,264.02","3,162.78","5.59M","-3.76%"
"Oct 27, 2020","3,286.33","3,223.00","3,291.18","3,212.26","4.29M","2.47%"
"Oct 26, 2020","3,207.04","3,196.02","3,281.42","3,153.54","5.90M","0.08%"
"Oct 23, 2020","3,204.40","3,191.00","3,205.33","3,140.00","3.47M","0.88%"
"Oct 22, 2020","3,176.40","3,189.87","3,198.00","3,122.25","4.21M","-0.27%"
"Oct 21, 2020","3,184.94","3,210.13","3,232.24","3,160.00","4.59M","-1.00%"
"Oct 20, 2020","3,217.01","3,219.50","3,265.04","3,193.86","4.51M","0.31%"
"Oct 19, 2020","3,207.21","3,298.84","3,327.50","3,193.00","5.22M","-2.00%"
"Oct 16, 2020","3,272.71","3,363.23","3,399.66","3,160.00","6.47M","-1.98%"
"Oct 15, 2020","3,338.65","3,292.01","3,355.88","3,280.00","5.22M","-0.75%"
"Oct 14, 2020","3,363.71","3,447.00","3,464.88","3,340.00","5.83M","-2.32%"
"Oct 13, 2020","3,443.63","3,467.99","3,492.38","3,424.22","5.74M","0.02%"
"Oct 12, 2020","3,442.93","3,349.94","3,496.24","3,339.55","8.36M","4.75%"
"Oct 09, 2020","3,286.65","3,210.00","3,288.99","3,197.83","4.91M","3.01%"
"Oct 08, 2020","3,190.55","3,224.99","3,233.29","3,174.99","3.17M","-0.16%"
"Oct 07, 2020","3,195.69","3,135.00","3,200.00","3,132.39","4.31M","3.09%"
"Oct 06, 2020","3,099.96","3,165.00","3,182.00","3,090.00","5.09M","-3.10%"
"Oct 05, 2020","3,199.20","3,145.84","3,202.53","3,140.85","3.78M","2.37%"
"Oct 02, 2020","3,125.00","3,153.63","3,195.80","3,123.00","5.61M","-2.99%"
"Oct 01, 2020","3,221.26","3,208.00","3,224.00","3,172.00","4.97M","2.30%"
"Sep 30, 2020","3,148.73","3,141.14","3,212.88","3,133.99","4.90M","0.12%"
"Sep 29, 2020","3,144.88","3,175.39","3,188.26","3,132.54","3.50M","-0.92%"
"Sep 28, 2020","3,174.05","3,148.85","3,175.04","3,117.17","4.22M","2.55%"
"Sep 25, 2020","3,095.13","3,054.86","3,101.54","2,999.00","4.62M","2.49%"
"Sep 24, 2020","3,019.79","2,977.79","3,069.30","2,965.00","5.53M","0.66%"
"Sep 23, 2020","2,999.86","3,120.43","3,127.00","2,992.38","5.65M","-4.13%"
"Sep 22, 2020","3,128.99","3,033.84","3,133.99","3,000.20","6.95M","5.69%"
"Sep 21, 2020","2,960.47","2,906.50","2,962.00","2,871.00","6.12M","0.19%"
"Sep 18, 2020","2,954.91","3,031.74","3,037.80","2,905.54","8.89M","-1.79%"
"Sep 17, 2020","3,008.73","3,009.25","3,029.43","2,972.55","6.45M","-2.25%"
"Sep 16, 2020","3,078.10","3,179.99","3,187.24","3,074.15","4.53M","-2.47%"
"Sep 15, 2020","3,156.13","3,136.16","3,175.02","3,108.92","4.02M","1.71%"
"Sep 14, 2020","3,102.97","3,172.94","3,187.39","3,096.00","4.53M","-0.43%"
"Sep 11, 2020","3,116.22","3,208.69","3,217.34","3,083.98","5.09M","-1.85%"
